areacode,cat1,cat2,cat3,contentid,contenttypeid,mapx,mapy,readcount,title,addr1,code
38,A05,A0502,A05020100,2670350,39,126.4301815,34.79639794,0,금모래,전라남도 목포시 평화로49번길 12,36010
38,A05,A0502,A05020100,2670363,39,126.3918573,34.78929534,0,남해추어탕,전라남도 목포시 산정로 3,36010
38,A05,A0502,A05020100,2670374,39,127.7312686,34.73997622,0,대성한방수육국밥,전라남도 여수시 충무로 39,36020
38,A05,A0502,A05020100,2670402,39,127.5214394,34.97146329,0,돌산횟집,전라남도 순천시 비봉2길 3-14,36030
38,A05,A0502,A05020100,2670404,39,127.6541391,34.7455326,0,동동해,전라남도 여수시 소호로 486,36020
38,A05,A0502,A05020100,2670405,39,127.7562337,34.71520998,0,동백한식,전라남도 여수시 돌산읍 강남해안로 189,36020
38,A05,A0502,A05020100,2670407,39,127.525023,34.94968802,0,명장진땡이,전라남도 순천시 상대석길 84,36030
38,A05,A0502,A05020100,2670412,39,126.4225736,34.80981575,0,목포무안짚불구이,전라남도 목포시 하당로 241,36010
38,A05,A0502,A05020100,2670413,39,127.5250314,34.94851037,0,바다속향기,전라남도 순천시 하대석길 70,36030
38,A05,A0502,A05020100,2670415,39,127.7010237,34.75111889,0,백경,전라남도 여수시 여문문화길 69,36020
38,A05,A0502,A05020300,2670416,39,127.7020181,34.75206047,0,백수초밥,전라남도 여수시 여문문화1길 54,36020
38,A05,A0502,A05020100,2670417,39,126.435928,34.80573865,0,산내들식육식당,전라남도 목포시 복산길12번길 28,36010
38,A05,A0502,A05020100,2670418,39,126.4268263,34.79598127,0,산수정,전라남도 목포시 미항로 21,36010
38,A05,A0502,A05020100,2670420,39,126.4323785,34.79965595,0,소담,전라남도 목포시 원형동로 50-2,36010
38,A05,A0502,A05020100,2670421,39,127.6477445,34.77398763,0,여수초밥,전라남도 여수시 화산로 88,36020
38,A05,A0502,A05020100,2670422,39,126.3815333,34.78526507,0,연잎향,전라남도 목포시 해안로165번길 34-1,36010
38,A05,A0502,A05020300,2670423,39,126.4299316,34.79485367,0,예향회정식,전라남도 목포시 평화로 40,36010
38,A05,A0502,A05020100,2670424,39,127.5236591,34.95275709,0,오대감,전라남도 순천시 장선배기길 12,36030
38,A05,A0502,A05020100,2670425,39,127.5264145,34.94974359,0,웃장가마솥국밥 금당,전라남도 순천시 해룡면 상대석길 66,36030
38,A05,A0502,A05020100,2670426,39,126.4441244,34.81192976,0,유달면옥,전라남도 목포시 후광대로105번길 8,36010
38,A05,A0502,A05020100,2670427,39,126.4357865,34.80252235,0,장수옥설렁탕,전라남도 목포시 삼향천로 4,36010
